Week number, PRs opened this week, PRs opened this week and still open
2017 w06, 57, 0
2017 w07, 124, 0
2017 w08, 145, 1
2017 w09, 168, 0
2017 w10, 156, 1
2017 w11, 78, 1
2017 w12, 100, 4
2017 w13, 138, 1
2017 w14, 102, 1
2017 w15, 95, 0
2017 w16, 102, 0
2017 w17, 102, 0
2017 w18, 127, 1
2017 w19, 89, 0
2017 w20, 125, 5
2017 w21, 140, 8
2017 w22, 103, 3
2017 w23, 166, 3
2017 w24, 153, 3
2017 w25, 126, 1
2017 w26, 138, 5
2017 w27, 106, 2
2017 w28, 96, 5
2017 w29, 97, 3
2017 w30, 122, 4
2017 w31, 56, 1
2017 w32, 74, 1
2017 w33, 78, 0
2017 w34, 61, 1
2017 w35, 53, 2
2017 w36, 210, 2
2017 w37, 148, 3
2017 w38, 104, 3
2017 w39, 109, 1
2017 w40, 76, 2
2017 w41, 84, 3
2017 w42, 70, 2
2017 w43, 91, 1
2017 w44, 122, 3
2017 w45, 91, 4
2017 w46, 89, 1
2017 w47, 104, 2
2017 w48, 117, 3
2017 w49, 90, 2
2017 w50, 128, 4
2017 w51, 95, 2
2017 w52, 62, 1
2018 w01, 66, 0
2018 w02, 51, 3
2018 w03, 81, 3
2018 w04, 134, 2
2018 w05, 138, 1
2018 w06, 95, 5
2018 w07, 115, 3
2018 w08, 151, 3
2018 w09, 78, 2
2018 w10, 104, 0
2018 w11, 64, 1
2018 w12, 95, 0
2018 w13, 97, 1
2018 w14, 86, 1
2018 w15, 58, 2
2018 w16, 89, 1
2018 w17, 75, 0
2018 w18, 72, 2
2018 w19, 67, 3
2018 w20, 235, 8
2018 w21, 123, 3
2018 w22, 223, 1
2018 w23, 239, 2
2018 w24, 164, 1
2018 w25, 128, 3
2018 w26, 143, 7
2018 w27, 148, 2
2018 w28, 100, 4
2018 w29, 113, 5
2018 w30, 157, 5
2018 w31, 123, 5
2018 w32, 71, 1
2018 w33, 75, 2
2018 w34, 121, 4
2018 w35, 89, 1
2018 w36, 91, 0
2018 w37, 217, 6
2018 w38, 176, 9
2018 w39, 130, 6
2018 w40, 101, 5
2018 w41, 132, 4
2018 w42, 149, 1
2018 w43, 172, 1
2018 w44, 122, 5
2018 w45, 146, 4
2018 w46, 121, 2
2018 w47, 112, 3
2018 w48, 146, 3
2018 w49, 205, 3
2018 w50, 126, 1
2018 w51, 117, 6
2018 w52, 76, 3
2019 w01, 75, 4
2019 w02, 94, 1
2019 w03, 81, 3
2019 w04, 62, 3
2019 w05, 62, 2
2019 w06, 62, 1
2019 w07, 97, 3
2019 w08, 114, 3
2019 w09, 128, 3
2019 w10, 116, 2
2019 w11, 121, 4
2019 w12, 140, 7
2019 w13, 115, 3
2019 w14, 73, 6
2019 w15, 114, 8
2019 w16, 67, 3
2019 w17, 102, 5
2019 w18, 101, 3
2019 w19, 168, 14
2019 w20, 161, 9
2019 w21, 158, 6
2019 w22, 171, 3
2019 w23, 173, 5
2019 w24, 205, 8
2019 w25, 189, 9
2019 w26, 162, 5
2019 w27, 150, 5
2019 w28, 138, 12
2019 w29, 120, 8
2019 w30, 97, 7
2019 w31, 128, 7
2019 w32, 92, 7
2019 w33, 112, 10
2019 w34, 166, 5
2019 w35, 143, 5
2019 w36, 95, 6
2019 w37, 436, 8
2019 w38, 161, 1
2019 w39, 149, 3
2019 w40, 128, 5
2019 w41, 148, 2
2019 w42, 113, 4
2019 w43, 91, 4
2019 w44, 78, 1
2019 w45, 65, 5
2019 w46, 107, 4
2019 w47, 161, 4
2019 w48, 60, 2
2019 w49, 81, 3
2019 w50, 106, 6
2019 w51, 62, 4
2019 w52, 63, 4
2020 w01, 106, 11
2020 w02, 125, 9
2020 w03, 98, 6
2020 w04, 122, 5
2020 w05, 122, 6
2020 w06, 108, 6
2020 w07, 106, 3
2020 w08, 100, 10
2020 w09, 97, 11
2020 w10, 135, 3
2020 w11, 162, 7
2020 w12, 86, 7
2020 w13, 108, 9
2020 w14, 166, 10
2020 w15, 105, 9
2020 w16, 119, 6
2020 w17, 114, 7
2020 w18, 165, 14
2020 w19, 140, 13
2020 w20, 134, 3
2020 w21, 204, 9
2020 w22, 190, 9
2020 w23, 138, 10
2020 w24, 173, 12
2020 w25, 162, 15
2020 w26, 167, 13
2020 w27, 136, 5
2020 w28, 114, 9
2020 w29, 98, 8
2020 w30, 80, 7
2020 w31, 73, 9
2020 w32, 96, 8
2020 w33, 97, 5
2020 w34, 46, 5
2020 w35, 78, 4
2020 w36, 103, 4
2020 w37, 109, 3
2020 w38, 97, 6
2020 w39, 99, 5
2020 w40, 117, 9
2020 w41, 99, 4
2020 w42, 99, 8
2020 w43, 221, 11
2020 w44, 110, 3
2020 w45, 112, 10
2020 w46, 104, 11
2020 w47, 165, 5
2020 w48, 92, 10
2020 w49, 103, 5
2020 w50, 91, 7
2020 w51, 116, 4
2020 w52, 97, 5
2020 w53, 107, 5
2021 w01, 110, 8
2021 w02, 47, 5
2021 w03, 83, 5
2021 w04, 89, 4
2021 w05, 69, 5
2021 w06, 49, 7
2021 w07, 91, 5
2021 w08, 56, 7
2021 w09, 108, 13
2021 w10, 82, 8
2021 w11, 98, 14
2021 w12, 97, 13
2021 w13, 128, 5
2021 w14, 160, 4
2021 w15, 119, 9
2021 w16, 139, 8
2021 w17, 219, 11
2021 w18, 183, 11
2021 w19, 173, 15
2021 w20, 140, 20
2021 w21, 134, 4
2021 w22, 111, 3
2021 w23, 146, 12
2021 w24, 102, 5
2021 w25, 113, 7
2021 w26, 95, 3
2021 w27, 63, 4
2021 w28, 144, 4
2021 w29, 124, 7
2021 w30, 179, 5
2021 w31, 135, 9
2021 w32, 104, 7
2021 w33, 125, 6
2021 w34, 147, 10
2021 w35, 133, 8
2021 w36, 121, 6
2021 w37, 160, 10
2021 w38, 111, 7
2021 w39, 139, 8
2021 w40, 141, 8
2021 w41, 153, 8
2021 w42, 188, 20
2021 w43, 147, 16
2021 w44, 108, 5
2021 w45, 99, 9
2021 w46, 132, 7
2021 w47, 135, 9
2021 w48, 102, 9
2021 w49, 148, 15
2021 w50, 131, 11
2021 w51, 63, 4
2021 w52, 73, 12
2022 w01, 160, 12
2022 w02, 118, 11
2022 w03, 216, 16
2022 w04, 188, 23
2022 w05, 144, 19
2022 w06, 144, 21
2022 w07, 135, 17
2022 w08, 152, 28
2022 w09, 106, 21
2022 w10, 147, 30
2022 w11, 156, 37
2022 w12, 26, 14
